id,user_id,order_date,status,orders_source
1,1,2018-01-01,returned,web
2,3,2018-01-02,completed,web
3,94,2018-01-04,completed,web
4,50,2018-01-05,completed,web
5,64,2018-01-05,completed,web
6,54,2018-01-07,completed,web
7,88,2018-01-09,completed,web
8,2,2018-01-11,returned,web
9,53,2018-01-12,completed,web
10,7,2018-01-14,completed,web
11,99,2018-01-14,completed,web
12,59,2018-01-15,completed,web
13,84,2018-01-17,completed,web
14,40,2018-01-17,returned,web
15,25,2018-01-17,completed,web
16,39,2018-01-18,completed,web
17,71,2018-01-18,completed,web
18,64,2018-01-20,returned,web
19,54,2018-01-22,completed,web
20,20,2018-01-23,completed,web
21,71,2018-01-23,completed,web
22,86,2018-01-24,completed,web
23,22,2018-01-26,return_pending,web
24,3,2018-01-27,completed,web
25,51,2018-01-28,completed,web
26,32,2018-01-28,completed,web
27,94,2018-01-29,completed,web
28,8,2018-01-29,completed,web
29,57,2018-01-31,completed,web
30,69,2018-02-02,completed,web
31,16,2018-02-02,completed,web
32,28,2018-02-04,completed,web
33,42,2018-02-04,completed,web
34,38,2018-02-06,completed,web
35,80,2018-02-08,completed,web
36,85,2018-02-10,completed,web
37,1,2018-02-10,completed,web
38,51,2018-02-10,completed,web
39,26,2018-02-11,completed,web
40,33,2018-02-13,completed,web
41,99,2018-02-14,completed,web
42,92,2018-02-16,completed,web
43,31,2018-02-17,completed,web
44,66,2018-02-17,completed,web
45,22,2018-02-17,completed,web
46,6,2018-02-19,completed,web
47,50,2018-02-20,completed,web
48,27,2018-02-21,completed,web
49,35,2018-02-21,completed,web
50,51,2018-02-23,completed,web
51,71,2018-02-24,completed,web
52,54,2018-02-25,return_pending,web
53,34,2018-02-26,completed,web
54,54,2018-02-26,completed,web
55,18,2018-02-27,completed,web
56,79,2018-02-28,completed,web
57,93,2018-03-01,completed,web
58,22,2018-03-01,completed,web
59,30,2018-03-02,completed,web
60,12,2018-03-03,completed,web
61,63,2018-03-03,completed,web
62,57,2018-03-05,completed,web
63,70,2018-03-06,completed,web
64,13,2018-03-07,completed,web
65,26,2018-03-08,completed,web
66,36,2018-03-10,completed,web
67,79,2018-03-11,completed,shop
68,53,2018-03-11,completed,shop
69,3,2018-03-11,completed,shop
70,8,2018-03-12,completed,shop
71,42,2018-03-12,shipped,shop
72,30,2018-03-14,shipped,shop
73,19,2018-03-16,completed,shop
74,9,2018-03-17,shipped,shop
75,69,2018-03-18,completed,shop
76,25,2018-03-20,completed,shop
77,35,2018-03-21,shipped,shop
78,90,2018-03-23,shipped,shop
79,52,2018-03-23,shipped,shop
80,11,2018-03-23,shipped,shop
81,76,2018-03-23,shipped,shop
82,46,2018-03-24,shipped,shop
83,54,2018-03-24,shipped,shop
84,70,2018-03-26,placed,shop
85,47,2018-03-26,shipped,shop
86,68,2018-03-26,placed,shop
87,46,2018-03-27,placed,shop
88,91,2018-03-27,shipped,shop
89,21,2018-03-28,placed,shop
90,66,2018-03-30,shipped,shop
91,47,2018-03-31,placed,shop
92,84,2018-04-02,placed,shop
93,66,2018-04-03,placed,shop
94,63,2018-04-03,placed,shop
95,27,2018-04-04,placed,shop
96,90,2018-04-06,placed,shop
97,89,2018-04-07,placed,shop
98,41,2018-04-07,placed,shop
99,85,2018-04-09,placed,shop
100,95,2025-07-15,placed,shop
101,27,2025-07-16,shipped,shop
102,53,2025-07-17,completed,shop
103,41,2025-07-17,completed,shop
104,23,2025-07-14,completed,shop
105,24,2025-07-17,shipped,shop
106,10,2025-07-18,placed,shop
107,20,2025-07-19,shipped,shop
108,30,2025-07-20,completed,shop
109,40,2025-07-21,return_pending,shop
110,30,2025-07-22,shipped,shop
